Player1,Result,FNL1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1
A.Ramos,0,0,58,30,42,8,7,4,29,23,6,1,16,9,2,5,1,NA,NA
G.Pella,0,2,65,58,35,26,15,3,50,33,19,4,30,22,4,2,6,6,3
G.Zemlja,1,3,68,67,32,20,18,5,68,33,10,6,44,31,6,6,6,6,NA
G.Dimitrov,1,3,73,43,27,10,15,2,26,9,11,5,16,12,6,6,6,NA,NA
D.Istomin,0,2,62,78,38,32,17,2,60,40,7,3,23,14,6,6,7,6,3
M.Llodra,1,3,62,43,38,21,17,4,43,15,6,3,47,32,7,6,6,NA,NA
L.Mayer,1,3,63,47,37,20,13,4,41,33,7,4,24,16,6,6,6,NA,NA
K.Nishikori,1,3,67,37,33,19,1,2,32,14,11,6,26,17,6,6,6,NA,NA
I.Dodig,1,3,65,84,35,25,20,8,69,30,12,2,54,36,4,6,7,6,2
J.Duckworth,0,2,58,63,42,20,19,5,53,44,17,4,47,32,4,2,6,6,1
A.Kuznetsov,0,0,61,39,39,11,8,1,39,18,6,0,17,12,3,4,4,NA,NA
M.Raonic,1,3,71,45,29,13,19,5,54,18,12,4,27,17,6,6,6,NA,NA
G.Elias,0,0,43,22,57,26,0,6,14,20,2,1,22,12,1,6,2,NA,NA
H.Zeballos,0,2,61,66,39,37,17,6,66,55,9,2,46,28,6,6,7,1,3
R.Bautista Agut,1,3,75,63,25,16,6,1,31,25,10,4,20,15,6,6,7,NA,NA
D.Ferrer,1,3,68,57,32,15,7,6,31,22,12,6,30,26,6,4,7,6,NA
M.Klizan,0,0,64,38,36,18,5,6,28,24,3,0,24,11,3,4,4,NA,NA
D.Brands,1,3,65,90,35,38,19,3,59,41,8,3,46,30,7,6,6,6,6
P.Petzschner,0,0,65,31,35,11,3,0,19,26,4,1,26,14,3,6,0,NA,NA
K.Anderson,1,3,72,39,28,14,28,2,68,19,10,5,16,9,6,6,6,NA,NA
B.Tomic,1,3,78,86,22,20,11,2,45,30,8,2,21,10,7,7,3,2,6
J.Blake,1,3,52,30,48,20,7,1,31,7,17,6,31,22,6,6,6,NA,NA
A.Haider-Maurer,0,0,56,43,44,18,8,6,35,29,2,2,26,16,6,5,1,NA,NA
R.Gasquet,1,3,65,65,35,22,8,1,60,28,16,5,46,31,6,6,7,6,NA
D.Tursunov,0,0,56,37,44,24,5,4,29,13,4,0,22,14,3,5,5,NA,NA
W.Odesnik,0,2,70,73,30,28,6,2,52,60,12,8,35,21,6,6,2,6,5
R.Berankis,0,1,52,73,48,36,19,10,67,38,8,1,35,23,6,5,7,4,NA
G.Simon,0,0,60,49,40,27,5,6,40,26,0,0,56,36,2,4,6,NA,NA
R.Harrison,0,1,65,70,35,30,18,2,43,17,3,1,49,26,6,6,5,2,NA
B.Kavcic,0,0,58,40,42,12,7,1,16,19,9,0,5,3,4,1,3,NA,NA
B.Reynolds,1,3,62,68,38,38,22,1,52,32,16,3,45,26,1,7,6,6,6
N.Djokovic,1,3,63,41,37,26,5,,40,20,11,3,26,20,6,7,6,NA,NA
Y-H.Lu,0,0,66,49,34,13,1,5,29,27,3,0,39,25,3,3,5,NA,NA
T.Robredo,1,3,63,52,37,28,9,3,38,9,5,2,15,10,7,6,7,NA,NA
V.Pospisil,0,2,63,83,37,25,26,2,66,27,7,2,61,39,2,7,6,6,4
V.Troicki,1,3,63,43,37,16,15,4,30,17,12,4,22,16,6,6,6,NA,NA
J.Monaco,1,3,68,54,32,24,7,0,53,10,14,5,19,15,5,6,6,6,NA
F.Verdasco,1,3,55,48,45,27,15,4,53,16,9,2,25,15,7,7,6,NA,NA
J-W.Tsonga,0,1,68,40,32,13,9,5,19,14,10,2,38,22,6,3,3,NA,NA
S.Stakhovsky,1,3,66,83,34,36,17,2,72,17,7,2,96,61,6,7,7,7,NA
J.Melzer,1,3,64,60,36,33,12,1,56,28,12,2,71,49,3,7,7,6,NA
N.Almagro,1,3,69,71,31,20,21,4,55,17,10,5,29,24,7,6,6,6,NA
D.Brown,1,3,64,71,36,25,21,5,74,22,6,5,87,48,6,6,6,6,NA
S.Robert,0,0,61,42,39,23,4,4,29,27,4,0,30,20,4,5,4,NA,NA
J.Levine,0,0,61,41,39,16,13,7,38,29,3,1,41,26,2,6,3,NA,NA
G.Dimitrov,0,2,68,92,32,33,21,5,56,31,17,2,40,31,6,6,6,4,8
K.Nishikori,1,3,67,51,33,19,2,5,29,20,12,5,15,9,7,6,6,NA,NA
D.Kudla,0,0,57,39,43,24,3,5,26,22,7,2,40,26,1,6,5,NA,NA
M.Raonic,0,0,68,57,32,17,22,4,48,24,4,0,22,14,5,4,6,NA,NA
D.Brands,0,0,75,53,25,11,19,1,33,10,1,1,20,13,6,4,2,NA,NA
K.Anderson,1,3,69,49,31,18,15,2,33,10,6,3,27,18,6,7,6,NA,NA
J.Blake,0,0,59,37,41,16,11,4,38,21,5,2,24,18,3,4,5,NA,NA
R.Gasquet,1,3,57,47,43,23,11,5,54,21,18,9,28,22,6,6,6,6,NA
J.Struff,1,2,55,36,45,17,7,3,20,15,2,1,10,6,2,7,2,NA,NA
N.Djokovic,1,3,59,39,41,22,12,0,41,12,18,4,20,14,7,6,6,NA,NA
T.Robredo,0,0,67,47,33,12,6,1,34,25,3,1,29,21,2,4,5,NA,NA
J.Melzer,1,3,67,51,33,19,9,0,47,16,7,6,39,25,6,2,7,6,NA
N.Almagro,0,0,72,58,28,8,18,3,32,18,1,1,19,9,6,3,4,NA,NA
A.Mannarino,1,3,65,44,35,20,16,2,40,10,12,4,28,14,6,6,7,NA,NA
G.Zemlja,0,0,67,53,33,11,14,5,44,27,0,0,21,13,5,6,0,NA,NA
K.Nishikori,0,2,69,63,31,23,3,6,44,45,11,3,30,23,6,2,7,1,4
I.Sijsling,0,0,62,12,38,4,3,0,8,10,0,0,14,4,0,1,0,NA,NA
D.Ferrer,1,3,70,76,30,22,6,8,34,39,24,7,50,34,6,7,2,6,6
K.Anderson,0,1,60,53,40,25,19,3,45,12,14,3,29,16,6,3,4,5,NA
R.Gasquet,0,1,69,83,31,27,15,3,73,25,8,1,64,51,6,7,5,6,NA
F.Lopez,0,1,54,48,46,30,14,3,42,25,10,2,38,24,6,2,5,4,NA
N.Djokovic,1,3,74,40,26,12,8,1,38,3,16,5,21,18,6,6,6,NA,NA
M.Youzhny,0,0,61,36,39,16,1,1,33,20,5,2,55,39,4,6,1,NA,NA
F.Verdasco,1,3,64,42,36,18,9,4,42,13,14,4,21,13,6,6,6,NA,NA
J.Janowicz,1,3,57,68,43,36,16,8,54,26,9,3,42,28,3,7,6,4,6
L.Kubot,1,3,67,72,33,25,26,7,62,34,16,3,87,56,4,6,3,6,6
A.Seppi,0,0,59,47,41,18,5,4,36,20,2,0,27,21,4,6,3,NA,NA
D.Ferrer,1,3,66,62,34,29,7,3,53,25,15,5,46,31,6,7,6,6,NA
B.Tomic,0,1,71,82,29,22,19,2,43,31,7,1,24,12,6,7,4,4,NA
N.Djokovic,1,3,65,44,35,17,13,3,40,16,13,6,22,15,6,6,7,NA,NA
F.Verdasco,0,2,59,63,41,29,11,9,45,45,7,3,45,26,6,6,1,4,5
L.Kubot,0,0,57,44,43,20,9,3,32,11,6,0,54,30,5,4,4,NA,NA
D.Ferrer,0,0,68,45,32,17,8,2,41,22,2,0,31,25,2,4,6,NA,NA
N.Djokovic,1,3,61,42,39,21,16,1,36,13,10,4,17,11,7,6,6,NA,NA
J.Janowicz,0,1,55,54,45,27,9,11,43,43,7,1,51,32,7,4,4,3,NA
N.Djokovic,1,3,69,102,31,21,22,2,80,48,15,3,56,42,7,4,7,6,6
N.Djokovic,0,0,65,40,35,15,4,4,31,40,13,4,52,30,4,5,4,NA,NA
A.Murray,1,3,57,39,43,20,11,2,38,16,10,5,23,17,6,6,6,NA,NA
Y-H.Lu,1,3,67,85,33,31,12,3,57,32,15,2,46,39,6,6,7,7,NA
J.Hajek,0,0,70,34,30,14,4,0,24,13,1,0,19,12,2,4,3,NA,NA
A.Bogomolov Jr.,0,0,79,35,21,8,1,4,16,27,0,0,22,13,2,2,4,NA,NA
M.Youzhny,1,3,67,53,33,17,9,3,40,26,21,3,44,30,6,7,7,NA,NA
V.Pospisil,1,3,70,56,30,11,25,3,53,30,12,4,33,26,6,6,7,NA,NA
A.Montanes,0,1,73,59,27,14,7,8,33,28,9,2,11,10,3,4,6,3,NA
V.Troicki,1,3,71,55,29,16,15,2,40,26,10,2,38,27,6,6,7,NA,NA
M.Cilic,1,3,70,45,30,16,16,2,41,19,6,4,11,8,6,6,6,NA,NA
P.Lorenzi,0,0,54,40,46,22,4,2,22,15,6,0,23,15,6,4,2,NA,NA
R.Ram,1,3,67,64,33,23,16,0,52,21,16,5,50,32,7,6,6,6,NA
B.Knittel,0,0,58,33,42,17,4,12,17,44,1,1,21,14,4,2,3,NA,NA
J.Benneteau,1,3,63,65,37,26,12,6,60,27,12,6,61,44,6,6,6,6,NA
X.Malisse,0,1,63,48,37,24,7,1,23,34,2,1,27,14,7,1,4,3,NA
E.Gulbis,1,3,65,59,35,20,20,6,55,36,8,4,26,17,7,6,7,NA,NA
D.Goffin,0,0,71,46,29,19,2,3,40,10,1,0,36,26,6,4,3,NA,NA
R.Federer,1,3,70,35,30,14,7,0,32,6,8,6,25,21,6,6,6,NA,NA
S.Stakhovsky,1,3,62,38,38,20,7,2,29,15,8,5,41,29,6,6,6,NA,NA
L.Rosol,0,2,59,81,41,39,20,13,95,74,17,3,59,42,3,6,6,7,4
J.Melzer,1,3,69,62,31,22,8,3,45,29,15,8,82,50,6,7,6,6,NA
J.Janowicz,1,3,68,40,32,17,11,4,39,17,21,5,17,11,6,6,6,NA,NA
M.Reid,0,0,60,34,40,12,12,7,29,30,2,0,21,10,2,2,4,NA,NA
G.Rufin,1,3,47,42,53,26,6,9,29,47,14,8,34,20,6,4,6,6,NA
J.Zopp,0,0,52,51,48,27,11,11,34,36,0,0,26,14,4,6,5,NA,NA
S.Wawrinka,0,0,60,41,40,20,12,2,44,37,10,2,21,13,4,5,3,NA,NA
G.Garcia-Lopez,0,0,67,32,33,10,4,4,23,13,3,0,13,9,3,3,3,NA,NA
A.Mannarino,1,3,63,31,37,17,6,0,34,14,13,6,31,23,6,6,6,NA,NA
E.Donskoy,0,0,65,47,35,15,4,4,27,20,0,0,18,13,1,6,6,NA,NA
B.Paire,1,3,63,51,37,18,26,3,64,21,13,6,33,21,6,4,6,6,NA
A.Falla,0,0,57,41,43,22,1,6,28,42,9,5,30,16,3,6,5,NA,NA
I.Andreev,0,0,69,28,31,9,5,2,20,21,3,2,9,4,1,5,2,NA,NA
S.Darcis,1,3,60,53,40,28,13,2,53,24,11,3,46,32,7,7,6,NA,NA
J.Del Potro,1,3,73,45,27,12,10,1,34,10,8,6,11,9,6,7,6,NA,NA
J.Levine,1,3,63,63,37,29,18,10,61,53,8,5,46,34,6,6,4,3,4
M.Russell,0,1,66,60,34,17,10,5,38,36,11,2,30,20,7,4,4,1,NA
S.Bolelli,0,0,59,34,41,13,4,2,20,28,0,0,12,5,1,4,3,NA,NA
A.Seppi,1,3,61,84,39,36,13,5,47,49,5,2,26,17,7,7,5,3,6
J.Nieminen,0,0,65,44,35,18,3,3,24,14,1,1,15,9,6,4,3,NA,NA
A.Bedene,0,0,60,34,40,16,7,3,19,30,6,0,10,5,2,3,4,NA,NA
M.Ebden,0,0,61,39,39,12,8,6,20,25,2,1,23,15,2,4,3,NA,NA
P.Kohlschreiber,0,2,57,75,43,37,14,3,60,34,6,1,39,23,6,7,6,3,1
D.Kudla,1,3,61,63,39,35,5,3,44,31,15,7,47,31,6,6,3,4,6
I.Sijsling,1,3,60,49,40,21,12,9,39,17,4,3,26,16,6,6,6,NA,NA
C.Berlocq,0,0,64,42,36,18,4,2,23,13,1,0,25,16,4,3,3,NA,NA
A.Dolgopolov,1,3,64,38,36,19,7,0,38,17,10,5,42,27,6,7,6,NA,NA
S.Giraldo,1,3,73,76,27,30,13,0,47,39,9,5,27,15,3,7,6,6,6
T.Gabashvili,0,0,58,40,42,21,5,5,38,52,8,2,26,16,3,4,6,NA,NA
M.Alund,0,1,74,53,26,13,8,2,28,23,3,2,23,14,1,6,5,2,NA
T.Berdych,1,3,62,47,38,17,6,1,31,14,9,3,26,20,6,6,6,NA,NA
D.Gimeno-Traver,0,2,69,93,31,27,20,3,64,37,4,0,18,10,6,7,7,1,4
M.Przysiezny,1,3,56,41,44,21,4,2,29,20,8,5,27,22,6,7,6,NA,NA
O.Rochus,0,0,62,30,38,17,0,0,17,14,0,0,4,1,4,2,1,NA,NA
S.Querrey,0,2,64,81,36,28,36,5,79,43,13,4,42,29,6,6,6,6,3
T.De Bakker,0,0,64,30,36,14,7,3,23,17,1,0,23,10,1,3,2,NA,NA
G.Soeda,1,3,55,39,45,25,9,2,31,14,9,5,21,14,7,7,6,NA,NA
M.Granollers,0,1,72,73,28,15,11,3,48,29,5,2,75,50,7,4,5,4,NA
T.Haas,1,3,64,56,36,18,17,3,45,13,6,3,19,14,6,7,7,NA,NA
Y-T.Wang,1,3,69,69,31,22,9,2,50,59,25,9,52,35,7,4,6,3,7
P-H.Mathieu,1,3,61,73,39,30,26,4,68,25,10,3,35,29,7,7,6,6,NA
F.Lopez,1,3,71,55,29,17,21,2,42,12,10,3,44,31,6,6,7,NA,NA
J.Chardy,1,3,66,66,34,22,10,6,60,30,17,3,63,43,7,4,7,6,NA
J.Struff,1,3,59,38,41,22,20,3,53,25,14,5,17,11,6,6,6,NA,NA
S.Johnson,0,2,55,76,45,39,25,8,76,55,11,2,36,26,6,6,3,7,4
F.Mayer,0,0,60,46,40,20,3,,25,12,3,0,29,19,3,5,4,NA,NA
A.Murray,1,3,63,44,37,20,11,1,41,14,15,4,23,19,6,6,7,NA,NA
N.Mahut,0,0,65,48,35,18,17,3,39,19,2,0,54,31,6,1,6,NA,NA
M.Youzhny,1,3,64,76,36,39,8,2,53,20,7,4,46,32,6,6,7,3,6
A.Kuznetsov,0,0,65,34,35,15,3,3,26,22,1,1,21,13,4,3,4,NA,NA
R.Ram,0,1,77,68,23,11,10,3,35,21,3,1,70,33,7,2,4,2,NA
J.Benneteau,0,0,62,55,38,24,7,3,25,16,2,1,39,25,6,6,4,NA,NA
E.Gulbis,1,2,61,40,39,17,12,8,45,24,8,3,25,16,3,6,6,NA,NA
R.Federer,0,1,72,91,28,24,16,1,57,13,8,1,54,35,7,6,5,6,NA
J.Reister,0,1,70,68,30,27,10,5,42,21,9,1,39,23,6,6,6,2,NA
G.Rufin,0,1,63,63,37,18,17,6,48,30,3,2,51,33,5,7,3,4,NA
L.Hewitt,0,1,55,52,45,29,12,4,42,13,10,1,34,15,4,4,7,2,NA
B.Paire,1,3,57,49,43,23,12,2,39,27,6,3,41,26,6,7,6,NA,NA
J.Del Potro,1,3,69,46,31,16,13,0,37,13,11,4,10,6,6,7,6,NA,NA
G.Zemlja,1,3,56,79,44,47,18,5,51,32,6,1,38,27,3,7,3,6,9
L.Mayer,0,0,65,44,35,15,5,5,27,28,5,2,32,19,6,4,2,NA,NA
I.Dodig,1,3,61,55,39,22,24,4,48,20,13,5,28,20,6,7,7,NA,NA
I.Sijsling,1,3,67,52,33,23,17,2,40,7,5,2,24,20,7,6,7,NA,NA
T.Berdych,1,3,58,40,42,26,15,1,55,10,11,4,29,20,7,6,6,NA,NA
M.Przysiezny,0,0,60,42,40,21,6,4,28,20,1,1,22,16,4,6,4,NA,NA
B.Tomic,1,3,72,54,28,13,4,0,33,12,8,5,19,15,6,6,7,NA,NA
G.Soeda,0,1,56,45,44,20,2,3,34,31,6,4,44,29,0,3,7,3,NA
J.Chardy,0,1,59,28,41,16,9,3,30,7,7,2,16,9,6,5,1,NA,NA
B.Reynolds,0,0,68,53,32,15,8,5,25,19,0,0,21,15,6,3,1,NA,NA
A.Murray,1,3,65,44,35,16,9,0,40,14,7,5,28,20,6,6,7,NA,NA
S.Stakhovsky,0,1,62,45,38,21,14,6,44,20,9,3,65,38,2,6,5,3,NA
J.Janowicz,1,3,69,52,31,16,30,3,59,15,5,3,15,14,7,6,6,NA,NA
D.Brown,0,0,58,42,42,16,11,3,34,20,5,0,61,29,4,2,5,NA,NA
J.Del Potro,1,3,61,47,39,20,10,4,29,12,9,4,13,7,7,7,6,NA,NA
A.Seppi,1,3,60,65,40,34,9,1,44,28,12,6,32,26,3,6,6,6,6
I.Dodig,1,3,47,12,53,17,5,1,21,6,9,6,6,5,6,6,1,NA,NA
A.Dolgopolov,0,2,59,76,41,33,15,2,56,34,9,5,53,35,7,6,6,1,2
T.Berdych,1,3,53,54,47,27,11,5,50,19,18,5,34,24,3,6,6,7,NA
B.Tomic,1,3,81,101,19,15,19,1,60,23,7,1,34,25,7,5,7,7,NA
T.Haas,1,3,76,63,24,18,18,2,43,22,10,5,38,24,4,6,7,6,NA
J.Chardy,0,0,66,32,34,15,6,4,18,14,0,0,23,12,3,2,2,NA,NA
A.Murray,1,3,63,55,37,16,15,4,45,16,10,5,42,31,6,7,6,NA,NA
K.De Schepper,0,0,67,43,33,15,9,3,26,12,2,1,51,31,4,4,4,NA,NA
J.Melzer,0,2,71,76,29,28,11,3,57,19,12,3,50,32,6,6,4,6,4
A.Mannarino,0,2,59,69,41,35,13,3,51,24,5,2,39,24,6,3,6,3,4
J.Del Potro,1,3,72,55,28,18,9,1,36,15,11,2,28,15,6,7,6,NA,NA
I.Dodig,0,1,66,64,34,25,14,3,47,32,6,0,54,30,7,6,1,1,NA
T.Berdych,1,3,58,68,42,30,24,5,68,42,15,3,48,30,7,6,6,6,NA
T.Haas,0,0,73,43,27,14,4,2,25,26,7,2,35,16,1,4,6,NA,NA
A.Murray,1,3,69,72,31,23,14,3,36,27,11,5,31,22,4,3,6,6,7
J.Janowicz,1,3,68,63,32,12,30,9,58,14,10,3,16,12,7,6,6,NA,NA
J.Del Potro,1,3,72,55,28,11,12,0,42,11,8,3,21,17,6,6,7,NA,NA
T.Berdych,0,0,53,33,47,27,6,4,31,25,2,2,31,21,6,4,3,NA,NA
A.Murray,1,3,70,60,30,24,20,1,49,15,13,5,36,22,6,6,6,6,NA
J.Del Potro,0,2,60,82,40,42,4,4,48,37,7,2,37,25,5,6,6,7,3
A.Murray,1,3,64,48,36,16,9,2,36,21,17,7,37,26,6,7,6,NA,NA
Pablo Carreno-Busta,0,0,62,27,38,11,1,3,12,29,1,3,9,20,2,2,3,NA,NA
Somdev Devvarman,1,3,62,54,38,22,7,3,26,20,5,8,12,21,6,6,7,NA,NA
Tobias Kamke,1,3,62,53,38,15,4,6,42,55,10,22,14,32,6,6,3,0,6
Julien Benneteau,1,3,72,87,28,19,14,2,48,27,4,13,14,30,7,6,5,7,NA
Lukas Lacko,0,0,52,31,48,22,4,4,21,24,1,1,3,5,3,4,4,NA,NA
Jan Hajek,1,3,70,58,30,18,4,4,35,36,6,12,8,10,6,5,6,6,NA
Adrian Mannarino,0,2,63,71,37,38,5,5,45,80,5,12,28,41,3,6,3,7,5
Gilles Simon,1,3,59,42,41,25,7,2,41,49,10,14,11,18,3,1,6,6,7
Philipp Petzschner,0,0,56,27,44,13,0,6,12,28,1,2,11,18,1,2,3,NA,NA
Radek Stepanek,0,0,63,62,37,29,5,4,41,44,1,6,19,27,6,6,6,NA,NA
Viktor Troicki,1,3,48,29,52,20,12,4,33,12,7,11,14,21,6,6,6,NA,NA
Juan Monaco,0,2,78,85,22,22,2,1,24,30,5,17,12,18,6,6,6,4,4
Benjamin Becker,0,0,66,48,34,13,7,5,24,24,1,5,11,14,4,2,5,NA,NA
Roberto Bautista Agut,1,3,83,51,17,6,6,0,27,18,5,14,5,6,6,6,6,NA,NA
Jarkko Nieminen,1,3,69,84,31,29,11,4,57,42,6,7,8,13,6,4,7,4,6
Jo-Wilfried Tsonga,1,3,50,32,50,23,5,0,29,33,6,10,13,17,6,6,6,NA,NA
Marinko Matosevic,0,0,59,29,41,10,1,5,20,42,5,8,15,26,4,3,4,NA,NA
Steve Johnson,0,2,55,53,45,32,5,7,56,41,4,5,19,35,4,6,3,6,1
Joao Sousa,1,3,70,40,30,14,7,2,29,21,7,10,5,7,6,6,6,NA,NA
Marcel Granollers,0,2,70,55,30,18,7,3,29,37,5,14,17,34,5,6,4,6,NA
Illya Marchenko,0,0,60,39,40,25,0,4,21,35,1,2,8,18,3,5,4,NA,NA
Jan-Lennard Struff,0,1,48,47,52,32,9,5,53,51,6,11,12,20,6,6,6,2,NA
Steve Darcis,0,1,71,49,29,23,3,1,35,18,4,6,21,42,4,6,1,4,NA
Milos Raonic,1,3,73,55,27,14,16,2,61,36,6,9,32,45,6,6,4,6,NA
Andreas Haider-Maurer,0,1,65,50,35,20,8,3,28,32,1,4,7,10,6,4,3,3,NA
Martin Alund,0,1,57,31,43,17,1,2,24,41,2,7,11,22,2,6,1,0,NA
Blaz Kavcic,1,3,63,33,37,17,1,0,25,8,7,12,11,20,6,6,6,NA,NA
Andreas Seppi,1,3,67,73,33,32,8,3,50,69,9,14,18,27,6,6,6,6,6
Jurgen Zopp,0,0,68,35,32,9,3,0,24,27,0,0,14,27,3,2,1,NA,NA
Igor Sijsling,1,3,64,41,36,18,16,3,31,16,6,11,3,8,6,6,6,NA,NA
Ernests Gulbis,1,3,53,36,47,23,7,2,40,26,6,9,16,24,6,7,6,NA,NA
Tomas Berdych,0,2,66,91,34,33,11,2,72,57,1,5,35,50,6,4,7,7,5
Sergiy Stakhovsky,0,0,55,22,45,17,1,1,16,30,1,4,12,27,1,4,3,NA,NA
Michal Przysiezny,1,3,67,75,33,27,13,4,57,31,4,12,29,41,6,6,7,7,NA
Florent Serra,0,0,64,35,36,13,1,1,17,25,2,3,2,3,3,4,5,NA,NA
Florian Mayer,0,1,59,40,41,15,6,3,22,24,4,7,10,14,6,3,5,NA,NA
Albert Ramos,0,0,61,41,39,25,5,1,22,17,1,6,10,18,6,5,3,NA,NA
Kenny De Schepper,0,1,64,61,36,21,7,11,56,60,3,6,31,49,4,6,6,3,NA
Vasek Pospisil,0,2,56,67,44,34,21,7,58,53,1,4,21,30,6,4,7,4,NA
Stanislas Wawrinka,1,3,69,74,31,24,9,3,55,50,4,15,35,56,7,6,6,7,NA
Jesse Levine,0,0,52,16,48,9,1,5,9,33,1,3,4,8,3,2,0,NA,NA
Grega Zemlja,1,3,52,32,48,21,12,2,43,24,6,13,6,7,6,6,6,NA,NA
Lukasz Kubot,1,2,64,30,36,12,4,5,25,45,6,16,16,36,6,5,3,NA,NA
Benoit Paire,1,2,46,40,54,29,6,2,39,46,2,3,21,28,3,7,4,NA,NA
Andreas Beck,0,0,55,37,45,25,4,4,34,39,1,13,15,23,3,5,3,NA,NA
Pere Riba,0,0,60,38,40,14,3,0,12,16,1,5,0,6,3,4,4,NA,NA
Martin Klizan,1,2,49,29,51,22,7,4,32,37,6,11,13,19,3,6,6,NA,NA
Rafael Nadal,1,3,84,74,16,12,2,4,40,26,3,8,19,25,4,7,6,6,NA
Fernando Verdasco,1,3,64,37,36,11,4,5,25,22,7,13,7,12,6,6,6,NA,NA
Federico Delbonis,1,3,55,52,45,27,8,8,53,41,7,10,13,23,6,6,6,6,NA
Mikhail Youzhny,1,3,65,70,35,20,11,5,71,52,6,20,26,37,4,6,6,6,NA
Carlos Berlocq,0,0,73,45,27,10,3,3,27,11,1,5,11,18,3,4,4,NA,NA
Andrey Kuznetsov,0,0,71,48,29,11,4,4,35,31,2,10,17,25,3,4,6,NA,NA
Jack Sock,1,3,56,32,44,23,4,2,26,26,7,13,6,9,6,6,7,NA,NA
Tommy Haas,1,3,65,48,35,13,6,4,27,41,5,9,12,15,7,6,6,NA,NA
Jiri Vesely,0,1,61,59,39,25,8,6,35,44,3,5,21,35,6,6,5,2,NA
Simone Bolelli,0,0,63,33,37,12,4,,18,27,1,1,5,8,4,4,1,NA,NA
Bernard Tomic,0,0,63,38,37,17,6,3,36,34,1,11,14,15,5,6,1,NA,NA
Alexandr Dolgopolov,0,0,55,51,45,22,14,2,44,50,3,7,8,11,6,4,6,NA,NA
Alejandro Falla,0,0,54,10,46,7,1,1,6,15,1,5,5,7,4,0,NA,NA,NA
Alex Kuznetsov,0,0,63,33,37,13,5,3,34,49,1,6,19,26,1,6,2,NA,NA
Ivan Dodig,0,2,56,80,44,37,21,8,70,72,6,14,35,48,6,4,3,6,1
Novak Djokovic,1,3,69,53,31,20,5,0,26,31,3,11,13,21,7,6,7,NA,NA
Somdev Devvarman,0,0,61,19,39,16,2,,12,14,0,3,3,14,2,1,1,NA,NA
Julien Benneteau,1,3,72,83,28,23,5,8,63,76,5,10,32,47,7,7,5,0,6
Jan Hajek,0,0,66,36,34,16,3,1,31,25,4,8,7,18,4,5,4,NA,NA
Gilles Simon,1,3,57,41,43,26,4,1,54,41,10,17,16,22,6,6,6,6,NA
Nick Kyrgios,0,0,64,33,36,10,3,4,14,23,0,3,2,6,4,2,2,NA,NA
Daniel Gimeno-Traver,0,2,78,84,22,15,1,3,49,60,7,10,14,23,6,6,0,7,4
Roberto Bautista Agut,0,0,79,42,21,8,1,0,17,11,0,0,14,20,1,5,4,NA,NA
Jo-Wilfried Tsonga,1,3,65,44,35,19,8,1,35,36,4,7,18,22,7,6,6,NA,NA
Albert Montanes,0,0,67,28,33,9,3,1,28,36,2,3,10,17,2,1,3,NA,NA
Feliciano Lopez,1,3,64,56,36,23,17,0,42,36,3,12,17,22,3,6,6,6,NA
Evgeny Donskoy,0,1,67,62,33,21,3,2,44,36,0,5,9,13,7,1,5,2,NA
Milos Raonic,1,3,63,62,37,25,24,5,75,42,4,12,33,46,7,3,7,6,NA
Edouard Roger-Vasselin,0,0,57,30,43,16,4,1,23,34,1,11,11,17,2,4,3,NA,NA
Andreas Seppi,1,3,57,67,43,41,14,2,63,40,6,18,24,39,6,7,6,4,6
Igor Sijsling,0,2,52,51,48,30,9,4,64,53,3,6,37,50,7,6,3,1,1
Gael Monfils,1,3,64,65,36,32,8,4,29,33,7,11,10,19,6,6,7,6,NA
Michal Przysiezny,0,0,64,27,36,8,3,0,14,34,2,3,6,13,3,3,0,NA,NA
Denis Istomin,0,0,68,41,32,19,3,0,19,41,1,1,13,22,4,5,2,NA,NA
Robin Haase,0,1,68,51,32,21,1,0,23,28,3,10,17,34,4,6,4,3,NA
Stanislas Wawrinka,1,3,66,52,34,18,19,6,50,33,3,6,13,25,6,7,6,NA,NA
Grega Zemlja,0,1,48,39,52,24,5,5,24,47,6,10,8,13,1,7,1,4,NA
Benoit Paire,1,3,57,34,43,20,9,3,54,35,7,16,15,22,7,6,6,NA,NA
Lukas Rosol,0,1,57,51,43,21,8,3,37,51,2,6,17,33,2,6,6,1,NA
Rafael Nadal,1,3,74,55,26,10,5,2,27,29,7,10,14,20,4,6,6,6,NA
Fernando Verdasco,0,2,58,77,42,40,10,9,74,89,4,14,29,39,6,1,6,7,6
Mikhail Youzhny,1,3,69,70,31,24,5,4,44,45,6,15,19,32,6,6,7,6,NA
Ryan Harrison,0,2,64,88,36,32,9,9,52,37,1,7,13,26,7,7,3,1,6
Tommy Haas,1,3,74,62,26,15,11,3,34,30,4,16,10,15,7,6,7,NA,NA
Dmitry Tursunov,0,0,59,31,41,9,6,4,25,15,2,2,6,9,4,6,NA,NA,NA
Lucas Pouille,0,0,60,31,40,14,1,3,15,39,1,6,13,23,1,6,1,NA,NA
Novak Djokovic,1,3,72,38,28,10,1,2,29,26,7,16,17,23,6,6,6,NA,NA
Julien Benneteau,0,0,82,41,18,8,2,1,15,31,1,3,9,15,3,4,5,NA,NA
